time (ms), rss (MB),arrayBuffers,external,heapTotal,heapUsed
226, 23.191552, 0, 1.262827, 8.105984, 3.922272
509, 23.494656, 0, 1.262859, 8.372224, 4.196512
747, 23.494656, 0, 1.262859, 8.372224, 4.198328
984, 23.498752, 0, 1.262859, 8.372224, 4.202008
1225, 23.498752, 0, 1.262859, 8.372224, 4.203792
1508, 23.498752, 0, 1.262859, 8.372224, 4.20608
1743, 23.502848, 0, 1.262859, 8.372224, 4.20972
1998, 23.502848, 0, 1.262859, 8.372224, 4.211912
2259, 23.502848, 0, 1.262859, 8.372224, 4.213752
2573, 23.502848, 0, 1.262859, 8.372224, 4.215752
2913, 23.502848, 0, 1.262859, 8.372224, 4.217528
3223, 23.502848, 0, 1.262859, 8.372224, 4.219272
3662, 23.502848, 0, 1.262859, 8.372224, 4.221016
3939, 23.502848, 0, 1.262859, 8.372224, 4.223272
4241, 23.502848, 0, 1.262859, 8.372224, 4.225832
4559, 23.502848, 0, 1.262859, 8.372224, 4.228016
4811, 23.502848, 0, 1.262859, 8.372224, 4.229776
5082, 23.502848, 0, 1.262859, 8.372224, 4.231784
5362, 23.502848, 0, 1.262859, 8.372224, 4.233752
5612, 23.502848, 0, 1.262859, 8.372224, 4.235512
5841, 23.502848, 0, 1.262859, 8.372224, 4.237272
6082, 23.502848, 0, 1.262859, 8.372224, 4.239328
6349, 23.502848, 0, 1.262859, 8.372224, 4.241088
6576, 35.852288, 0, 11.940235, 8.372224, 5.371152
6850, 36.417536, 0, 12.436075, 8.372224, 5.421232
7049, 37.1712, 0, 13.146779, 8.372224, 5.490136
7259, 39.825408, 0, 17.135248, 6.012928, 4.4542
7459, 40.321024, 0, 17.61456, 6.012928, 4.501304
7685, 40.423424, 0, 17.746784, 6.012928, 4.5156
7887, 40.61184, 0, 17.912064, 6.012928, 4.533016
8137, 40.914944, 0, 18.226096, 6.012928, 4.564472
8337, 41.025536, 0, 18.292208, 6.012928, 4.572752
8539, 42.164224, 0, 20.105406, 5.48864, 3.311144
8744, 42.594304, 0, 20.535134, 5.48864, 3.353568
8954, 43.102208, 0, 20.98139, 5.48864, 3.397512
9181, 43.679744, 0, 21.96339, 5.48864, 3.201824
9402, 44.040192, 0, 22.310478, 5.48864, 3.236544
9641, 45.551616, 0, 23.550078, 5.48864, 3.36112
9852, 45.944832, 0, 23.94675, 5.48864, 3.395936
10057, 46.882816, 0, 24.822734, 5.48864, 3.47056
10265, 47.689728, 0, 25.549966, 5.48864, 3.532848
10487, 48.115712, 0, 25.897054, 5.48864, 3.563424
10715, 48.574464, 0, 26.359838, 5.48864, 3.603632
10921, 48.869376, 0, 26.624286, 5.48864, 3.627432
11134, 49.393664, 0, 27.103598, 5.48864, 3.66912
11338, 50.577408, 0, 28.194446, 5.48864, 3.761616
11541, 52.215808, 0, 29.665438, 5.48864, 3.88576
11757, 52.568064, 0, 30.012526, 5.48864, 3.916592
11962, 53.16608, 0, 30.55795, 5.48864, 3.96368
12182, 53.653504, 0, 30.97115, 5.48864, 3.999736
12401, 55.476224, 0, 32.62395, 5.48864, 4.139008
12623, 58.007552, 0, 35.431934, 5.48864, 3.548168
12824, 59.523072, 0, 36.853342, 5.48864, 3.666808
13026, 69.439488, 0, 46.397582, 5.48864, 3.644496
13246, 78.848, 0, 53.719486, 5.48864, 4.300136
13447, 90.038272, 0, 65.521966, 6.012928, 3.611224
13646, 102.719488, 0, 77.52283, 7.061504, 3.850048
13847, 109.58848, 0, 83.88611, 7.061504, 4.326112
14049, 121.683968, 0, 95.121358, 9.4208, 4.334912
14249, 126.533632, 0, 99.881422, 9.4208, 4.691736
14448, 136.02816, 0, 108.707374, 9.4208, 5.35164
14669, 141.807616, 0, 113.913694, 9.4208, 5.821824
14868, 143.642624, 0, 115.447758, 9.4208, 4.240152
15075, 147.484672, 0, 119.298782, 9.4208, 4.529336
15275, 151.474176, 0, 123.19939, 9.4208, 4.822024
15482, 152.055808, 0, 123.794398, 9.4208, 4.868056
15685, 153.321472, 0, 124.918302, 9.4208, 4.95352
15886, 154.259456, 0, 125.810814, 9.4208, 5.021728
16094, 154.845184, 0, 126.356238, 9.4208, 5.064064
16296, 155.205632, 0, 126.703326, 9.4208, 5.091616
16555, 155.459584, 0, 126.934718, 9.4208, 5.110544
16767, 156.758016, 0, 128.091678, 9.4208, 5.198696
16967, 157.134848, 0, 128.471822, 9.4208, 5.228712
17169, 157.437952, 0, 128.752798, 9.4208, 5.251336
17371, 158.814208, 0, 130.008926, 9.4208, 5.346648
17593, 159.023104, 0, 130.174206, 9.4208, 5.360648
17807, 159.944704, 0, 131.05019, 9.4208, 5.427856
18010, 160.80896, 0, 131.843534, 9.4208, 5.488672
18226, 161.3824, 0, 132.37243, 9.4208, 5.529776
18443, 162.086912, 0, 132.983966, 9.4208, 5.577024
18691, 162.869248, 0, 133.678142, 9.4208, 5.630448
18929, 163.557376, 0, 134.35579, 9.4208, 5.68288
19138, 164.298752, 0, 135.000382, 9.4208, 5.732608
19341, 165.158912, 0, 135.793726, 9.4208, 5.793424
19573, 166.150144, 0, 136.75235, 9.4208, 5.86656
19774, 165.474304, 0, 138.341102, 6.537216, 4.507696
19980, 165.769216, 0, 138.638606, 6.537216, 4.531576
20191, 167.616512, 0, 140.456686, 6.537216, 4.668776
20396, 169.426944, 0, 142.24171, 6.537216, 4.803592
20599, 170.860544, 0, 143.696174, 6.537216, 4.913688
20816, 171.78624, 0, 144.572158, 6.537216, 4.980672
21036, 172.392448, 0, 145.200222, 6.537216, 5.029168
21249, 172.589056, 0, 145.365502, 6.537216, 5.043168
21492, 173.154304, 0, 145.943982, 6.537216, 5.087968
21692, 175.771648, 0, 149.02851, 6.79936, 4.63
21895, 180.969472, 0, 153.854686, 6.79936, 4.99148
22147, 181.43232, 0, 154.251358, 6.79936, 5.022728
22398, 181.788672, 0, 154.598446, 6.79936, 5.05028
22633, 182.063104, 0, 154.846366, 6.79936, 5.07044
22836, 182.427648, 0, 155.209982, 6.79936, 5.099224
23096, 182.554624, 0, 155.276094, 6.79936, 5.105832
23368, 182.235136, 0, 155.470702, 6.79936, 4.345232
23570, 182.43584, 0, 155.718622, 6.79936, 4.365608
23784, 183.586816, 0, 156.776414, 6.79936, 4.446136
24008, 185.327616, 0, 158.396158, 6.79936, 4.568608
24225, 186.089472, 0, 159.073806, 6.79936, 4.6208
24425, 187.117568, 0, 160.065486, 6.79936, 4.6964
24632, 187.61728, 0, 160.511742, 6.79936, 4.731344
24848, 188.502016, 0, 161.338142, 6.79936, 4.79464
25084, 188.776448, 0, 161.586062, 6.79936, 4.814864
25289, 189.825024, 0, 162.528158, 6.79936, 4.886768
25506, 190.521344, 0, 163.205806, 6.79936, 4.93896
25744, 192.376832, 0, 164.875134, 6.79936, 5.065112
26011, 193.220608, 0, 165.585838, 6.79936, 5.240136
26228, 193.61792, 0, 165.89987, 6.79936, 5.265224
26474, 193.748992, 0, 166.06515, 6.79936, 5.279224
26674, 194.039808, 0, 166.329598, 6.79936, 5.300616
26892, 194.203648, 0, 167.026318, 6.79936, 4.654112
27131, 194.781184, 0, 167.555214, 6.79936, 4.695216
27342, 195.9936, 0, 168.695646, 6.79936, 4.781904
27545, 197.271552, 0, 169.836078, 6.79936, 4.86868
27747, 198.529024, 0, 171.026094, 6.79936, 4.959064
27951, 201.244672, 0, 173.488766, 6.79936, 5.14432
28150, 217.075712, 0, 189.386014, 6.79936, 4.816168
28350, 227.930112, 0, 199.534206, 6.79936, 5.574472
28552, 231.79264, 0, 203.610958, 7.061504, 5.085504
28751, 246.247424, 0, 217.486366, 7.323648, 5.307272
28964, 262.275072, 0, 232.017486, 8.372224, 5.732864
29166, 264.4992, 0, 234.05043, 8.372224, 5.886232
29367, 268.926976, 0, 238.173022, 8.372224, 5.371456
29569, 272.039936, 0, 241.230702, 8.372224, 5.601072
29770, 278.130688, 0, 247.03203, 8.372224, 6.035376
29969, 302.252032, 0, 269.618414, 10.653696, 7.121984
30169, 312.991744, 0, 279.42339, 10.653696, 6.1958
30369, 320.94208, 0, 287.059326, 10.653696, 6.766896
30576, 329.965568, 0, 295.640094, 10.91584, 6.09744
30795, 336.064512, 0, 301.672814, 10.91584, 6.549064
30995, 341.83168, 0, 307.374974, 10.91584, 6.975816
31196, 351.940608, 0, 316.93347, 10.91584, 6.077392
31402, 364.48256, 0, 329.312942, 10.91584, 7.001952
31604, 367.972352, 0, 332.55243, 10.91584, 7.245296
31860, 368.951296, 0, 333.494526, 10.91584, 7.3172
32077, 369.455104, 0, 333.940782, 10.91584, 7.352144
32276, 370.438144, 0, 334.800238, 10.91584, 7.417888
32479, 376.877056, 0, 340.410734, 11.177984, 6.281624
32678, 379.76064, 0, 343.25355, 11.177984, 6.49532
32878, 384.417792, 0, 347.914446, 11.177984, 6.84448
33102, 384.835584, 0, 348.29459, 11.177984, 6.874496
33321, 387.35872, 0, 350.839902, 11.177984, 7.065912
33525, 388.939776, 0, 352.410062, 11.177984, 7.184648
33726, 392.077312, 0, 355.500798, 11.177984, 7.416712
33925, 409.567232, 0, 372.402462, 11.71456, 7.723488
34130, 425.934848, 0, 387.796494, 16.171008, 7.261328
34329, 438.72256, 0, 400.489998, 16.171008, 8.209536
34529, 453.640192, 0, 414.241294, 16.171008, 9.236712
34729, 476.520448, 0, 435.71291, 16.248832, 7.937584
34929, 499.236864, 0, 457.397646, 16.248832, 9.556336
35132, 507.940864, 0, 465.248446, 16.248832, 10.14356
35334, 511.832064, 0, 468.818494, 16.248832, 10.411384
35533, 521.224192, 0, 476.394942, 17.297408, 7.733216
35735, 537.055232, 0, 491.76555, 17.035264, 7.70616
35934, 549.507072, 0, 504.095438, 17.035264, 8.627496
36134, 567.005184, 0, 521.43331, 17.035264, 9.922144
36336, 587.4688, 0, 541.51483, 17.035264, 11.421304
36537, 602.619904, 0, 555.738062, 17.035264, 9.080208
36805, 603.32032, 0, 556.399182, 17.035264, 9.131168
37004, 610.045952, 0, 562.79227, 17.69472, 8.760656
37205, 628.690944, 0, 581.287102, 17.69472, 10.14156
37420, 643.91168, 0, 596.228414, 17.69472, 11.25704
37606, 652.054528, 0, 604.36019, 17.69472, 11.865184
37855, 673.542144, 0, 624.282046, 26.86976, 8.982256
38054, 680.566784, 0, 631.306446, 26.86976, 9.507928
38255, 689.926144, 0, 640.52907, 26.86976, 10.197536
38497, 692.461568, 0, 643.016462, 26.86976, 10.384944
