time (ms), rss (MB),arrayBuffers,external,heapTotal,heapUsed
203, 32.608256, 0.017594, 1.410488, 15.183872, 4.496552
404, 32.612352, 0.017594, 1.410528, 15.183872, 4.504872
604, 32.612352, 0.017594, 1.410528, 15.183872, 4.511336
805, 32.612352, 0.017594, 1.410528, 15.183872, 4.51556
1005, 32.612352, 0.017594, 1.410528, 15.183872, 4.51836
1206, 32.612352, 0.017594, 1.410528, 15.183872, 4.52108
1407, 32.878592, 0.017594, 1.410528, 15.450112, 4.78784
1607, 32.878592, 0.017594, 1.410528, 15.450112, 4.790984
1809, 32.878592, 0.017594, 1.410528, 15.450112, 4.79364
2008, 32.878592, 0.017594, 1.410528, 15.450112, 4.79636
2210, 32.878592, 0.017594, 1.410528, 15.450112, 4.798856
2411, 32.878592, 0.017594, 1.410528, 15.450112, 4.801688
2611, 32.878592, 0.017594, 1.410528, 15.450112, 4.804384
2811, 32.878592, 0.017594, 1.410528, 15.450112, 4.807376
3011, 27.652096, 0.017594, 1.410528, 7.323648, 4.05288
3212, 27.652096, 0.017594, 1.410528, 7.323648, 4.055776
3412, 27.652096, 0.017594, 1.410528, 7.323648, 4.058256
3612, 26.656768, 0.017594, 1.410528, 7.061504, 4.052216
3812, 26.656768, 0.017594, 1.410528, 7.061504, 4.055512
4012, 26.660864, 0.017594, 1.410528, 7.061504, 4.058088
4212, 26.66496, 0.017594, 1.410528, 7.061504, 4.0606
4413, 26.66496, 0.017594, 1.410528, 7.061504, 4.063416
4614, 26.669056, 0.017594, 1.410528, 7.061504, 4.065896
4813, 26.669056, 0.017594, 1.410528, 7.061504, 4.068584
5014, 26.673152, 0.017594, 1.410528, 7.061504, 4.071576
5215, 26.677248, 0.017594, 1.410528, 7.061504, 4.074088
5415, 26.677248, 0.017594, 1.410528, 7.061504, 4.076696
5615, 26.681344, 0.017594, 1.410528, 7.061504, 4.079248
5815, 26.681344, 0.017594, 1.410528, 7.061504, 4.081824
6014, 26.68544, 0.017594, 1.410528, 7.061504, 4.084304
6214, 26.68544, 0.017594, 1.410528, 7.061504, 4.086808
6415, 26.689536, 0.017594, 1.410528, 7.061504, 4.089424
6615, 26.697728, 0.017594, 1.410528, 7.061504, 4.092016
