time (ms), rss (MB),arrayBuffers,external,heapTotal,heapUsed
201, 31.223808, 0.017594, 1.410488, 14.135296, 4.450112
400, 31.232, 0.017594, 1.410528, 14.135296, 4.462648
600, 31.232, 0.017594, 1.410528, 14.135296, 4.46516
800, 31.232, 0.017594, 1.410528, 14.135296, 4.469312
1001, 31.232, 0.017594, 1.410528, 14.135296, 4.472112
1201, 31.232, 0.017594, 1.410528, 14.135296, 4.474832
1402, 31.232, 0.017594, 1.410528, 14.135296, 4.479432
1602, 31.232, 0.017594, 1.410528, 14.135296, 4.482192
1802, 31.232, 0.017594, 1.410528, 14.135296, 4.48484
2002, 31.232, 0.017594, 1.410528, 14.135296, 4.48756
2202, 31.232, 0.017594, 1.410528, 14.135296, 4.490056
2402, 31.232, 0.017594, 1.410528, 14.135296, 4.49288
2602, 31.49824, 0.017594, 1.410528, 14.401536, 4.757928
2802, 31.49824, 0.017594, 1.410528, 14.401536, 4.760936
3003, 31.49824, 0.017594, 1.410528, 14.401536, 4.764
3204, 31.49824, 0.017594, 1.410528, 14.401536, 4.766664
3405, 31.49824, 0.017594, 1.410528, 14.401536, 4.769144
3607, 31.49824, 0.017594, 1.410528, 14.401536, 4.771872
3808, 31.49824, 0.017594, 1.410528, 14.401536, 4.774696
4008, 31.49824, 0.017594, 1.410528, 14.401536, 4.777272
4208, 31.49824, 0.017594, 1.410528, 14.401536, 4.779752
4408, 31.49824, 0.017594, 1.410528, 14.401536, 4.782408
4608, 31.760384, 0.017594, 1.410528, 14.66368, 4.19856
4812, 31.694848, 0.017594, 1.410528, 14.66368, 4.207984
5012, 31.694848, 0.017594, 1.410528, 14.66368, 4.210528
5213, 31.694848, 0.017594, 1.410528, 14.66368, 4.213008
5414, 31.694848, 0.017594, 1.410528, 14.66368, 4.215584
5615, 31.694848, 0.017594, 1.410528, 14.66368, 4.218136
5815, 31.694848, 0.017594, 1.410528, 14.66368, 4.220616
6016, 31.694848, 0.017594, 1.410528, 14.66368, 4.223096
6217, 31.694848, 0.017594, 1.410528, 14.66368, 4.225712
6418, 31.694848, 0.017594, 1.410528, 14.66368, 4.228248
6618, 31.694848, 0.017594, 1.410528, 14.66368, 4.230872
6818, 31.694848, 0.017594, 1.410528, 14.66368, 4.233448
7018, 31.694848, 0.017594, 1.410528, 14.66368, 4.235928
7218, 31.694848, 0.017594, 1.410528, 14.66368, 4.238408
55208, 30.072832, 0.017874, 1.410808, 7.847936, 6.173472
55408, 27.291648, 0.017874, 1.410808, 7.847936, 4.25384
55608, 27.291648, 0.017874, 1.410808, 7.847936, 4.256568
55808, 27.295744, 0.017874, 1.410808, 7.847936, 4.259056
56008, 27.205632, 0.017874, 1.410808, 7.323648, 4.198864
56208, 27.205632, 0.017874, 1.410808, 7.323648, 4.201616
56409, 27.209728, 0.017874, 1.410808, 7.323648, 4.204104
56609, 27.213824, 0.017874, 1.410808, 7.323648, 4.206728
56810, 27.213824, 0.017874, 1.410808, 7.323648, 4.209248
57011, 27.21792, 0.017874, 1.410808, 7.323648, 4.211992
57211, 27.21792, 0.017874, 1.410808, 7.323648, 4.214496
57411, 27.222016, 0.017874, 1.410808, 7.323648, 4.216976
57611, 27.222016, 0.017874, 1.410808, 7.323648, 4.219496
57812, 27.226112, 0.017874, 1.410808, 7.323648, 4.222216
58013, 27.230208, 0.017874, 1.410808, 7.323648, 4.224736
58213, 27.230208, 0.017874, 1.410808, 7.323648, 4.227392
58413, 27.234304, 0.017874, 1.410808, 7.323648, 4.22988
58613, 27.234304, 0.017874, 1.410808, 7.323648, 4.232456
58814, 27.2384, 0.017874, 1.410808, 7.323648, 4.234944
59015, 27.242496, 0.017874, 1.410808, 7.323648, 4.237448
59215, 27.242496, 0.017874, 1.410808, 7.323648, 4.239968
59415, 27.246592, 0.017874, 1.410808, 7.323648, 4.242608
59616, 27.246592, 0.017874, 1.410808, 7.323648, 4.245128
59816, 27.250688, 0.017874, 1.410808, 7.323648, 4.247616
60018, 27.254784, 0.017874, 1.410808, 7.323648, 4.250136
60218, 27.25888, 0.017874, 1.410808, 7.323648, 4.252656
60418, 27.262976, 0.017874, 1.410808, 7.323648, 4.25516
60620, 27.262976, 0.017874, 1.410808, 7.323648, 4.257672
60820, 27.267072, 0.017874, 1.410808, 7.323648, 4.26016
61021, 27.271168, 0.017874, 1.410808, 7.323648, 4.262672
61221, 27.271168, 0.017874, 1.410808, 7.323648, 4.265192
61423, 27.275264, 0.017874, 1.410808, 7.323648, 4.26768
61623, 27.275264, 0.017874, 1.410808, 7.323648, 4.270192
61824, 27.27936, 0.017874, 1.410808, 7.323648, 4.27268
62024, 27.283456, 0.017874, 1.410808, 7.323648, 4.275184
62224, 27.283456, 0.017874, 1.410808, 7.323648, 4.277704
62424, 27.287552, 0.017874, 1.410808, 7.323648, 4.280192
62625, 27.287552, 0.026066, 1.419, 7.323648, 4.283864
62826, 27.291648, 0.026066, 1.419, 7.323648, 4.286392
63026, 27.295744, 0.026066, 1.419, 7.323648, 4.288904
63226, 27.295744, 0.026066, 1.419, 7.323648, 4.291416
63426, 27.29984, 0.026066, 1.419, 7.323648, 4.293896
