time (ms), rss (MB),arrayBuffers,external,heapTotal,heapUsed
201, 23.289856, 0, 1.262827, 8.368128, 3.936344
401, 23.302144, 0, 1.262859, 8.368128, 3.941944
601, 23.568384, 0, 1.262859, 8.634368, 4.20592
803, 23.580672, 0, 1.262859, 8.634368, 4.209656
1004, 23.580672, 0, 1.262859, 8.634368, 4.21144
1205, 23.580672, 0, 1.262859, 8.634368, 4.21372
1406, 23.584768, 0, 1.262859, 8.634368, 4.21736
1606, 23.584768, 0, 1.262859, 8.634368, 4.219552
1807, 23.584768, 0, 1.262859, 8.634368, 4.221392
2007, 23.584768, 0, 1.262859, 8.634368, 4.223392
2208, 23.584768, 0, 1.262859, 8.634368, 4.225168
2409, 23.584768, 0, 1.262859, 8.634368, 4.226912
2610, 23.584768, 0, 1.262859, 8.634368, 4.228656
2811, 23.584768, 0, 1.262859, 8.634368, 4.230912
3011, 23.584768, 0, 1.262859, 8.634368, 4.233472
3211, 23.584768, 0, 1.262859, 8.634368, 4.235656
3412, 23.584768, 0, 1.262859, 8.634368, 4.237416
3613, 23.584768, 0, 1.262859, 8.634368, 4.239424
3813, 23.584768, 0, 1.262859, 8.634368, 4.241392
4013, 23.584768, 0, 1.262859, 8.634368, 4.243152
4213, 23.584768, 0, 1.262859, 8.634368, 4.244912
4414, 23.588864, 0, 1.262859, 8.634368, 4.246968
4614, 23.588864, 0, 1.262859, 8.634368, 4.24876
4815, 23.588864, 0, 1.262859, 8.634368, 4.250512
5015, 23.588864, 0, 1.262859, 8.634368, 4.252272
5216, 23.588864, 0, 1.262859, 8.634368, 4.254032
5417, 23.588864, 0, 1.271051, 8.634368, 4.256
5617, 23.588864, 0, 1.271051, 8.634368, 4.257848
5901, 56.119296, 0, 10.167927, 36.438016, 23.131736
6102, 56.123392, 0, 10.167927, 36.438016, 23.135056
6303, 56.123392, 0, 10.167927, 36.438016, 23.136856
6503, 56.123392, 0, 10.167927, 36.438016, 23.13884
6703, 56.123392, 0, 10.167927, 36.438016, 23.140632
6903, 69.464064, 0, 10.167927, 58.195968, 23.043464
7104, 69.464064, 0, 10.167927, 58.195968, 23.045632
7304, 69.464064, 0, 10.167927, 58.195968, 23.0474
7505, 69.464064, 0, 10.167927, 58.195968, 23.04916
7705, 69.464064, 0, 10.167927, 58.195968, 23.05092
7906, 69.464064, 0, 10.167927, 58.195968, 23.05276
8107, 69.464064, 0, 10.167927, 58.195968, 23.054552
8307, 69.464064, 0, 10.167927, 58.195968, 23.056384
