time (ms), rss (MB),arrayBuffers,external,heapTotal,heapUsed
202, 23.199744, 0, 1.262827, 8.368128, 3.941192
403, 23.482368, 0, 1.262859, 8.634368, 4.208952
615, 23.482368, 0, 1.262859, 8.634368, 4.210768
816, 23.482368, 0, 1.262859, 8.634368, 4.214448
1016, 23.482368, 0, 1.262859, 8.634368, 4.2162
1217, 23.486464, 0, 1.262859, 8.634368, 4.21848
1417, 23.486464, 0, 1.262859, 8.634368, 4.222152
1620, 23.486464, 0, 1.262859, 8.634368, 4.22432
1836, 23.486464, 0, 1.262859, 8.634368, 4.226152
2037, 23.486464, 0, 1.262859, 8.634368, 4.228152
2251, 23.486464, 0, 1.262859, 8.634368, 4.229928
2451, 23.486464, 0, 1.262859, 8.634368, 4.231672
2661, 23.486464, 0, 1.262859, 8.634368, 4.233416
2860, 23.486464, 0, 1.262859, 8.634368, 4.235672
3060, 23.49056, 0, 1.262859, 8.634368, 4.238232
3261, 23.49056, 0, 1.262859, 8.634368, 4.240432
3462, 23.49056, 0, 1.262859, 8.634368, 4.242184
3663, 23.49056, 0, 1.262859, 8.634368, 4.244184
3863, 23.49056, 0, 1.262859, 8.634368, 4.246144
4063, 23.49056, 0, 1.262859, 8.634368, 4.247896
4264, 23.49056, 0, 1.262859, 8.634368, 4.249648
4465, 23.49056, 0, 1.262859, 8.634368, 4.251696
4666, 23.49056, 0, 1.262859, 8.634368, 4.253448
4866, 23.49056, 0, 1.262859, 8.634368, 4.2552
5067, 23.49056, 0, 1.262859, 8.634368, 4.256952
5268, 23.49056, 0, 1.262859, 8.634368, 4.258704
5469, 23.49056, 0, 1.262859, 8.634368, 4.260456
5670, 23.49056, 0, 1.262859, 8.634368, 4.26228
5871, 23.49056, 0, 1.271051, 8.634368, 4.26424
6075, 23.49056, 0, 1.271051, 8.634368, 4.266016
6278, 23.49056, 0, 1.271051, 8.634368, 4.267768
6477, 23.49056, 0, 1.271051, 8.634368, 4.269656
6678, 23.49056, 0, 1.271051, 8.634368, 4.271488
6878, 23.49056, 0, 1.271051, 8.634368, 4.273272
7078, 23.49056, 0, 1.271051, 8.634368, 4.275024
7279, 23.49056, 0, 1.271051, 8.634368, 4.276776
7482, 23.49056, 0, 1.271051, 8.634368, 4.278528
7682, 23.49056, 0, 1.271051, 8.634368, 4.28028
7882, 23.49056, 0, 1.271051, 8.634368, 4.282112
8082, 23.49056, 0, 1.271051, 8.634368, 4.283896
8283, 22.749184, 0, 1.19795, 5.48864, 2.939528
8484, 22.749184, 0, 1.19795, 5.48864, 2.939664
8689, 22.749184, 0, 1.19795, 5.48864, 2.941416
8892, 21.397504, 0, 1.19795, 5.48864, 2.868408
9095, 21.397504, 0, 1.19795, 5.48864, 2.870368
9295, 21.397504, 0, 1.19795, 5.48864, 2.87212
9495, 21.4016, 0, 1.19795, 5.48864, 2.873872
9696, 21.4016, 0, 1.19795, 5.48864, 2.875904
9898, 21.405696, 0, 1.19795, 5.48864, 2.877656
10100, 21.405696, 0, 1.19795, 5.48864, 2.87944
10344, 21.417984, 0, 1.19795, 5.48864, 2.881192
10590, 21.417984, 0, 1.19795, 5.48864, 2.882976
10796, 21.417984, 0, 1.19795, 5.48864, 2.884728
10996, 21.42208, 0, 1.19795, 5.48864, 2.88648
11197, 21.42208, 0, 1.19795, 5.48864, 2.888256
11397, 21.426176, 0, 1.19795, 5.48864, 2.890008
11600, 21.426176, 0, 1.19795, 5.48864, 2.891792
11800, 21.426176, 0, 1.19795, 5.48864, 2.893544
12001, 21.430272, 0, 1.19795, 5.48864, 2.895296
12201, 21.430272, 0, 1.19795, 5.48864, 2.897232
12402, 21.434368, 0, 1.19795, 5.48864, 2.898984
12603, 21.434368, 0, 1.19795, 5.48864, 2.900768
12803, 21.438464, 0, 1.19795, 5.48864, 2.90252
13004, 21.438464, 0, 1.19795, 5.48864, 2.904672
13204, 21.438464, 0, 1.19795, 5.48864, 2.906424
13404, 21.44256, 0, 1.19795, 5.48864, 2.908176
13604, 21.44256, 0, 1.19795, 5.48864, 2.909952
13809, 21.446656, 0, 1.19795, 5.48864, 2.911704
14011, 21.446656, 0, 1.19795, 5.48864, 2.913488
14212, 27.467776, 0, 6.113294, 5.48864, 3.555592
14412, 27.639808, 0, 6.113294, 5.48864, 3.61784
14612, 27.656192, 0, 6.113294, 5.48864, 3.63368
14812, 25.288704, 0, 3.884926, 5.48864, 3.322552
15073, 32.722944, 0, 10.569742, 5.48864, 3.822528
15279, 28.291072, 0, 6.375294, 5.48864, 3.766296
15480, 29.913088, 0, 7.620478, 5.48864, 3.926928
15680, 33.316864, 0, 10.831742, 5.48864, 4.226912
15882, 32.894976, 0, 10.569598, 5.48864, 3.95912
16181, 33.34144, 0, 10.962814, 5.48864, 4.011728
17235, 33.845248, 0, 11.421566, 5.48864, 4.056416
18051, 35.47136, 0, 12.928894, 5.48864, 4.17128
18254, 25.165824, 0, 1.329022, 5.48864, 3.291768
18503, 25.432064, 0, 3.688318, 5.48864, 3.462904
18703, 29.888512, 0, 7.75155, 5.48864, 3.766432
18905, 34.906112, 0, 11.814782, 5.48864, 4.0664
19215, 38.182912, 0, 15.026046, 5.48864, 4.31448
19517, 27.840512, 0, 5.78547, 5.48864, 3.656168
19912, 37.74464, 0, 14.829438, 5.48864, 4.250312
20203, 27.779072, 0, 1.329022, 6.537216, 3.365192
20438, 28.790784, 0, 5.719934, 6.537216, 3.674552
20659, 31.10912, 0, 7.620478, 6.537216, 3.81828
20864, 35.786752, 0, 12.01139, 6.537216, 4.104072
46480, 38.76864, 0, 14.698366, 6.537216, 4.331472
46682, 31.899648, 0, 9.06227, 5.48864, 4.13524
46939, 33.411072, 0, 10.569598, 5.48864, 4.288096
47139, 31.473664, 0, 8.865662, 5.48864, 4.145072
47339, 33.202176, 0, 10.438526, 5.48864, 4.30416
47627, 25.133056, 0, 1.394558, 5.48864, 3.479624
47914, 27.230208, 0, 4.999038, 5.48864, 3.813576
48114, 31.309824, 0, 8.73459, 5.48864, 4.158584
48742, 33.1776, 0, 10.438526, 5.48864, 4.329312
49863, 34.156544, 0, 11.02835, 5.48864, 4.406824
50317, 23.38816, 0, 1.460094, 5.48864, 3.515024
