time (ms), rss (MB),arrayBuffers,external,heapTotal,heapUsed
205, 23.1424, 0, 1.262827, 8.368128, 3.91476
406, 23.154688, 0, 1.262859, 8.368128, 3.920352
606, 23.154688, 0, 1.262859, 8.368128, 3.922144
806, 23.420928, 0, 1.262859, 8.634368, 4.188064
1007, 23.420928, 0, 1.262859, 8.634368, 4.189872
1207, 23.425024, 0, 1.262859, 8.634368, 4.19216
1407, 23.425024, 0, 1.262859, 8.634368, 4.195832
1607, 23.425024, 0, 1.262859, 8.634368, 4.198
1807, 23.425024, 0, 1.262859, 8.634368, 4.199832
2009, 23.425024, 0, 1.262859, 8.634368, 4.201832
2210, 23.425024, 0, 1.262859, 8.634368, 4.203608
2410, 23.425024, 0, 1.262859, 8.634368, 4.205352
2611, 23.425024, 0, 1.262859, 8.634368, 4.207096
2813, 23.425024, 0, 1.262859, 8.634368, 4.209352
3013, 23.42912, 0, 1.262859, 8.634368, 4.211912
3214, 23.42912, 0, 1.262859, 8.634368, 4.214112
3415, 23.42912, 0, 1.262859, 8.634368, 4.215864
3616, 23.42912, 0, 1.262859, 8.634368, 4.217864
3817, 23.42912, 0, 1.262859, 8.634368, 4.219824
4017, 23.42912, 0, 1.262859, 8.634368, 4.221576
4217, 23.42912, 0, 1.262859, 8.634368, 4.223328
4418, 23.42912, 0, 1.262859, 8.634368, 4.225376
4619, 23.42912, 0, 1.262859, 8.634368, 4.227128
4819, 23.42912, 0, 1.262859, 8.634368, 4.22888
5019, 23.42912, 0, 1.262859, 8.634368, 4.230632
5219, 23.42912, 0, 1.262859, 8.634368, 4.232384
5430, 23.42912, 0, 1.262859, 8.634368, 4.234136
5630, 23.42912, 0, 1.262859, 8.634368, 4.23596
5833, 23.42912, 0, 1.271051, 8.634368, 4.23792
6039, 23.42912, 0, 1.271051, 8.634368, 4.239696
6240, 23.42912, 0, 1.271051, 8.634368, 4.241448
6441, 23.42912, 0, 1.271051, 8.634368, 4.243336
6641, 23.42912, 0, 1.271051, 8.634368, 4.245168
6841, 23.42912, 0, 1.271051, 8.634368, 4.246952
7049, 23.42912, 0, 1.271051, 8.634368, 4.248704
7253, 23.42912, 0, 1.271051, 8.634368, 4.25048
7454, 23.42912, 0, 1.271051, 8.634368, 4.252232
7654, 23.42912, 0, 1.271051, 8.634368, 4.253984
7857, 23.42912, 0, 1.271051, 8.634368, 4.255816
8057, 23.42912, 0, 1.271051, 8.634368, 4.2576
8257, 22.667264, 0, 1.19795, 5.48864, 2.880104
8458, 22.667264, 0, 1.19795, 5.48864, 2.879984
8657, 22.667264, 0, 1.19795, 5.48864, 2.881736
8865, 21.25824, 0, 1.19795, 4.964352, 2.864712
9066, 21.25824, 0, 1.19795, 4.964352, 2.866664
9267, 21.25824, 0, 1.19795, 4.964352, 2.868416
9466, 21.262336, 0, 1.19795, 4.964352, 2.870168
9667, 21.262336, 0, 1.19795, 4.964352, 2.872208
9869, 21.266432, 0, 1.19795, 4.964352, 2.87396
10070, 21.274624, 0, 1.19795, 4.964352, 2.875744
10271, 21.27872, 0, 1.19795, 4.964352, 2.877536
10471, 21.27872, 0, 1.19795, 4.964352, 2.879312
10670, 21.27872, 0, 1.19795, 4.964352, 2.881064
10875, 21.282816, 0, 1.19795, 4.964352, 2.882816
11075, 21.282816, 0, 1.19795, 4.964352, 2.884608
11284, 21.286912, 0, 1.19795, 4.964352, 2.886368
11486, 21.286912, 0, 1.19795, 4.964352, 2.88816
11703, 21.286912, 0, 1.19795, 4.964352, 2.889912
11904, 21.291008, 0, 1.19795, 4.964352, 2.891672
12104, 21.291008, 0, 1.19795, 4.964352, 2.893616
12304, 21.295104, 0, 1.19795, 4.964352, 2.895376
12504, 21.295104, 0, 1.19795, 4.964352, 2.897168
12706, 21.2992, 0, 1.19795, 4.964352, 2.898928
12906, 21.2992, 0, 1.19795, 4.964352, 2.901072
13106, 21.2992, 0, 1.19795, 4.964352, 2.902824
13307, 21.303296, 0, 1.19795, 4.964352, 2.904576
13507, 21.303296, 0, 1.19795, 4.964352, 2.906368
13706, 21.307392, 0, 1.19795, 4.964352, 2.908128
13907, 21.307392, 0, 1.19795, 4.964352, 2.90992
14107, 21.307392, 0, 1.19795, 4.964352, 2.911672
14308, 21.311488, 0, 1.19795, 4.964352, 2.913432
14509, 21.311488, 0, 1.19795, 4.964352, 2.915224
14709, 21.315584, 0, 1.19795, 4.964352, 2.916984
14909, 21.315584, 0, 1.19795, 4.964352, 2.918776
15109, 21.31968, 0, 1.19795, 4.964352, 2.920536
15310, 21.31968, 0, 1.19795, 4.964352, 2.922312
15509, 21.31968, 0, 1.19795, 4.964352, 2.924064
15709, 21.323776, 0, 1.19795, 4.964352, 2.925816
15910, 21.323776, 0, 1.19795, 4.964352, 2.927608
16113, 21.327872, 0, 1.19795, 4.964352, 2.929368
16319, 21.327872, 0, 1.19795, 4.964352, 2.93116
16519, 21.331968, 0, 1.19795, 4.964352, 2.932912
16721, 21.331968, 0, 1.19795, 4.964352, 2.934704
16922, 21.331968, 0, 1.19795, 4.964352, 2.936464
17122, 21.336064, 0, 1.19795, 4.964352, 2.938224
17325, 21.336064, 0, 1.19795, 4.964352, 2.940016
17533, 21.34016, 0, 1.19795, 4.964352, 2.941776
17733, 21.34016, 0, 1.19795, 4.964352, 2.943552
17933, 21.34016, 0, 1.19795, 4.964352, 2.945304
18133, 21.344256, 0, 1.19795, 4.964352, 2.947056
18334, 21.344256, 0, 1.19795, 4.964352, 2.948848
18534, 21.348352, 0, 1.19795, 4.964352, 2.950608
18734, 21.348352, 0, 1.19795, 4.964352, 2.9524
18935, 21.352448, 0, 1.19795, 4.964352, 2.954152
19134, 21.352448, 0, 1.19795, 4.964352, 2.955944
19335, 21.352448, 0, 1.19795, 4.964352, 2.957704
19536, 21.36064, 0, 1.19795, 4.964352, 2.959464
19737, 21.36064, 0, 1.19795, 4.964352, 2.96124
19938, 21.364736, 0, 1.19795, 4.964352, 2.962992
20138, 21.364736, 0, 1.19795, 4.964352, 2.964784
20339, 21.364736, 0, 1.19795, 4.964352, 2.966544
20540, 21.368832, 0, 1.19795, 4.964352, 2.968304
20740, 21.368832, 0, 1.19795, 4.964352, 2.97016
20940, 21.372928, 0, 1.19795, 4.964352, 2.971912
21140, 21.372928, 0, 1.19795, 4.964352, 2.973704
21341, 21.377024, 0, 1.19795, 4.964352, 2.975464
21542, 21.377024, 0, 1.19795, 4.964352, 2.977256
21743, 21.377024, 0, 1.19795, 4.964352, 2.979016
21944, 21.38112, 0, 1.19795, 4.964352, 2.980776
22145, 21.38112, 0, 1.19795, 4.964352, 2.982552
22345, 21.385216, 0, 1.19795, 4.964352, 2.984304
22545, 21.385216, 0, 1.19795, 4.964352, 2.986096
22745, 21.385216, 0, 1.19795, 4.964352, 2.987856
22946, 21.389312, 0, 1.19795, 4.964352, 2.98968
23154, 21.389312, 0, 1.19795, 4.964352, 2.991464
23355, 21.393408, 0, 1.19795, 4.964352, 2.993224
23556, 21.393408, 0, 1.19795, 4.964352, 2.995016
23756, 21.397504, 0, 1.19795, 4.964352, 2.996776
23959, 21.397504, 0, 1.19795, 4.964352, 2.998568
24157, 21.397504, 0, 1.19795, 4.964352, 3.000328
24357, 21.4016, 0, 1.19795, 4.964352, 3.002088
24557, 21.4016, 0, 1.19795, 4.964352, 3.003864
24758, 21.405696, 0, 1.19795, 4.964352, 3.005616
24957, 21.405696, 0, 1.19795, 4.964352, 3.007408
25159, 21.405696, 0, 1.19795, 4.964352, 3.009168
25358, 21.409792, 0, 1.19795, 4.964352, 3.010928
25559, 21.409792, 0, 1.19795, 4.964352, 3.01272
25761, 21.413888, 0, 1.19795, 4.964352, 3.014472
25962, 21.413888, 0, 1.19795, 4.964352, 3.016264
26163, 21.417984, 0, 1.19795, 4.964352, 3.018024
26364, 21.417984, 0, 1.19795, 4.964352, 3.019816
26565, 21.417984, 0, 1.19795, 4.964352, 3.021576
26766, 21.42208, 0, 1.19795, 4.964352, 3.023336
26966, 21.42208, 0, 1.19795, 4.964352, 3.025112
27166, 21.426176, 0, 1.19795, 4.964352, 3.026864
27367, 21.426176, 0, 1.19795, 4.964352, 3.028656
27567, 21.426176, 0, 1.19795, 4.964352, 3.030416
27768, 21.430272, 0, 1.19795, 4.964352, 3.032176
27969, 21.430272, 0, 1.19795, 4.964352, 3.033968
28169, 21.434368, 0, 1.19795, 4.964352, 3.035728
28370, 21.434368, 0, 1.19795, 4.964352, 3.037568
28570, 21.438464, 0, 1.19795, 4.964352, 3.039328
28770, 21.438464, 0, 1.19795, 4.964352, 3.04112
28970, 21.438464, 0, 1.19795, 4.964352, 3.042872
29171, 21.44256, 0, 1.19795, 4.964352, 3.044632
29371, 21.44256, 0, 1.19795, 4.964352, 3.046408
29570, 21.446656, 0, 1.19795, 4.964352, 3.04816
29772, 21.446656, 0, 1.19795, 4.964352, 3.049944
29972, 21.397504, 0, 1.19795, 4.964352, 3.051704
30174, 21.4016, 0, 1.19795, 4.964352, 3.053464
30374, 21.4016, 0, 1.19795, 4.964352, 3.055216
30575, 21.405696, 0, 1.19795, 4.964352, 3.056968
30776, 21.405696, 0, 1.19795, 4.964352, 3.058728
30976, 21.409792, 0, 1.19795, 4.964352, 3.060488
31177, 21.409792, 0, 1.19795, 4.964352, 3.062248
31377, 21.409792, 0, 1.19795, 4.964352, 3.064008
31577, 21.413888, 0, 1.19795, 4.964352, 3.065768
31778, 21.413888, 0, 1.19795, 4.964352, 3.067528
31979, 21.417984, 0, 1.19795, 4.964352, 3.069288
32180, 21.417984, 0, 1.19795, 4.964352, 3.071048
32380, 21.417984, 0, 1.19795, 4.964352, 3.072808
32581, 21.42208, 0, 1.19795, 4.964352, 3.074568
32781, 21.42208, 0, 1.19795, 4.964352, 3.07632
32980, 21.426176, 0, 1.19795, 4.964352, 3.078072
33181, 21.430272, 0, 1.19795, 4.964352, 3.079832
33381, 21.434368, 0, 1.19795, 4.964352, 3.081592
33582, 21.434368, 0, 1.19795, 4.964352, 3.083352
33783, 21.434368, 0, 1.19795, 4.964352, 3.085112
33983, 21.438464, 0, 1.19795, 4.964352, 3.086872
34183, 21.438464, 0, 1.19795, 4.964352, 3.088632
34384, 21.44256, 0, 1.19795, 4.964352, 3.090392
34585, 21.44256, 0, 1.19795, 4.964352, 3.092144
34786, 21.44256, 0, 1.19795, 4.964352, 3.093896
34986, 21.446656, 0, 1.19795, 4.964352, 3.095648
35185, 21.446656, 0, 1.19795, 4.964352, 3.097408
35386, 21.450752, 0, 1.19795, 4.964352, 3.099168
35586, 21.450752, 0, 1.19795, 4.964352, 3.10096
35787, 21.454848, 0, 1.19795, 4.964352, 3.102712
35989, 21.454848, 0, 1.19795, 4.964352, 3.104504
36190, 21.454848, 0, 1.19795, 4.964352, 3.106264
36390, 21.458944, 0, 1.19795, 4.964352, 3.108024
36591, 21.458944, 0, 1.19795, 4.964352, 3.109816
36791, 21.46304, 0, 1.19795, 4.964352, 3.111576
36992, 21.46304, 0, 1.206142, 4.964352, 3.11356
37192, 21.467136, 0, 1.206142, 4.964352, 3.115336
37392, 21.467136, 0, 1.206142, 4.964352, 3.117128
37593, 21.467136, 0, 1.206142, 4.964352, 3.118888
37795, 21.471232, 0, 1.206142, 4.964352, 3.120648
37996, 21.471232, 0, 1.206142, 4.964352, 3.12244
38196, 21.475328, 0, 1.206142, 4.964352, 3.1242
38396, 21.475328, 0, 1.206142, 4.964352, 3.125984
38596, 21.475328, 0, 1.206142, 4.964352, 3.127744
38797, 21.479424, 0, 1.206142, 4.964352, 3.129504
38998, 21.479424, 0, 1.206142, 4.964352, 3.131296
39199, 21.48352, 0, 1.206142, 4.964352, 3.133056
39400, 21.48352, 0, 1.206142, 4.964352, 3.13484
39601, 21.48352, 0, 1.206142, 4.964352, 3.136616
39801, 21.48352, 0, 1.206142, 4.964352, 3.138376
40002, 21.48352, 0, 1.206142, 4.964352, 3.140136
40202, 21.487616, 0, 1.206142, 4.964352, 3.141896
40403, 21.487616, 0, 1.206142, 4.964352, 3.143688
40603, 21.491712, 0, 1.206142, 4.964352, 3.145448
40803, 21.491712, 0, 1.206142, 4.964352, 3.14724
41004, 21.495808, 0, 1.206142, 4.964352, 3.149
41204, 21.495808, 0, 1.206142, 4.964352, 3.150784
41405, 21.495808, 0, 1.206142, 4.964352, 3.152544
41607, 21.499904, 0, 1.206142, 4.964352, 3.154304
41806, 21.499904, 0, 1.206142, 4.964352, 3.156096
