time (ms), rss (MB),arrayBuffers,external,heapTotal,heapUsed
203, 21.614592, 0.089274, 1.322194, 8.626176, 4.352032
417, 21.909504, 0.089274, 1.322234, 8.892416, 4.620512
617, 21.9136, 0.089274, 1.322234, 8.892416, 4.622688
818, 21.9136, 0.089274, 1.322234, 8.892416, 4.6262
1019, 21.917696, 0.089274, 1.322234, 8.892416, 4.628336
1230, 21.917696, 0.089274, 1.322234, 8.892416, 4.630424
1430, 21.921792, 0.089274, 1.322234, 8.892416, 4.63436
1631, 21.925888, 0.089274, 1.322234, 8.892416, 4.636416
1832, 21.925888, 0.089274, 1.322234, 8.892416, 4.638248
2034, 21.929984, 0.089274, 1.322234, 8.892416, 4.640304
2233, 21.929984, 0.089274, 1.322234, 8.892416, 4.642168
2435, 21.93408, 0.089274, 1.322234, 8.892416, 4.6442
2636, 21.93408, 0.089274, 1.322234, 8.892416, 4.64604
2854, 21.93408, 0.089274, 1.322234, 8.892416, 4.64848
3055, 21.938176, 0.089274, 1.322234, 8.892416, 4.650952
3256, 21.942272, 0.089274, 1.322234, 8.892416, 4.652984
3457, 21.946368, 0.089274, 1.322234, 8.892416, 4.654832
3658, 21.946368, 0.089274, 1.322234, 8.892416, 4.656928
3866, 21.950464, 0.089274, 1.322234, 8.892416, 4.658952
4066, 21.950464, 0.089274, 1.322234, 8.892416, 4.6608
4275, 21.950464, 0.089274, 1.322234, 8.892416, 4.662616
4476, 21.95456, 0.089274, 1.322234, 8.892416, 4.664608
4694, 21.95456, 0.089274, 1.322234, 8.892416, 4.666448
4895, 21.958656, 0.089274, 1.322234, 8.892416, 4.668264
5096, 21.958656, 0.089274, 1.322234, 8.892416, 4.670112
5298, 21.962752, 0.089274, 1.322234, 8.892416, 4.672024
5498, 21.962752, 0.089274, 1.322234, 8.892416, 4.673872
5699, 21.962752, 0.089274, 1.322234, 8.892416, 4.67576
5935, 21.966848, 0.089274, 1.322234, 8.892416, 4.677576
6139, 21.966848, 0.089274, 1.322234, 8.892416, 4.679424
6340, 21.970944, 0.089274, 1.322234, 8.892416, 4.68124
6541, 21.970944, 0.089274, 1.322234, 8.892416, 4.683224
6765, 21.97504, 0.089274, 1.322234, 8.892416, 4.68512
6966, 21.97504, 0.089274, 1.322234, 8.892416, 4.686992
7167, 21.97504, 0.089274, 1.322234, 8.892416, 4.688808
7369, 21.979136, 0.089274, 1.322234, 8.892416, 4.690624
7568, 21.979136, 0.089274, 1.322234, 8.892416, 4.692568
