time (ms), rss (MB),arrayBuffers,external,heapTotal,heapUsed
201, 23.113728, 0, 1.262827, 8.105984, 3.938296
402, 23.392256, 0, 1.262859, 8.372224, 4.206056
601, 23.392256, 0, 1.262859, 8.372224, 4.207872
802, 23.396352, 0, 1.262859, 8.372224, 4.211552
1010, 23.396352, 0, 1.262859, 8.372224, 4.213336
1214, 23.396352, 0, 1.262859, 8.372224, 4.215624
1416, 23.396352, 0, 1.262859, 8.372224, 4.219272
1618, 23.400448, 0, 1.262859, 8.372224, 4.22144
1821, 23.400448, 0, 1.262859, 8.372224, 4.223304
2020, 23.400448, 0, 1.262859, 8.372224, 4.225304
2221, 23.400448, 0, 1.262859, 8.372224, 4.22708
2423, 23.400448, 0, 1.262859, 8.372224, 4.228816
2623, 23.400448, 0, 1.262859, 8.372224, 4.23056
2824, 23.400448, 0, 1.262859, 8.372224, 4.232808
3024, 23.400448, 0, 1.262859, 8.372224, 4.235368
3224, 23.400448, 0, 1.262859, 8.372224, 4.237552
3425, 23.400448, 0, 1.262859, 8.372224, 4.239312
3626, 23.400448, 0, 1.262859, 8.372224, 4.24132
3826, 23.400448, 0, 1.262859, 8.372224, 4.24328
7389, 1546.743808, 0, 1524.763486, 5.226496, 3.087504
7616, 1546.756096, 0, 1524.763486, 5.226496, 3.099008
7818, 1546.756096, 0, 1524.763486, 5.226496, 3.114976
8044, 1546.756096, 0, 1524.763486, 5.226496, 3.131584
8245, 1546.756096, 0, 1524.763486, 5.226496, 3.13932
8451, 1546.756096, 0, 1524.763486, 5.226496, 3.153936
8668, 1546.756096, 0, 1524.763486, 5.226496, 3.168824
8869, 1546.756096, 0, 1524.771678, 5.226496, 3.184016
9073, 1546.760192, 0, 1524.771678, 5.226496, 3.198328
9276, 1546.760192, 0, 1524.771678, 5.226496, 3.212776
9479, 1546.760192, 0, 1524.771678, 5.226496, 3.226328
9681, 1546.760192, 0, 1524.771678, 5.226496, 3.23396
9898, 1546.760192, 0, 1524.771678, 5.226496, 3.248232
10104, 1546.760192, 0, 1524.771678, 5.226496, 3.255832
10322, 1546.760192, 0, 1524.771678, 5.226496, 3.2636
10522, 1546.760192, 0, 1524.771678, 5.226496, 3.271136
10835, 1546.760192, 0, 1524.771678, 5.226496, 3.284592
11036, 1546.760192, 0, 1524.771678, 5.226496, 3.292288
11276, 1546.760192, 0, 1524.771678, 5.226496, 3.305864
11493, 1546.760192, 0, 1524.771678, 5.226496, 3.313576
12057, 1546.788864, 0, 1524.771678, 5.226496, 3.327144
12848, 22.069248, 0, 1.19795, 4.964352, 3.118672
13064, 22.07744, 0, 1.19795, 4.964352, 3.126384
13296, 22.085632, 0, 1.19795, 4.964352, 3.134
13501, 22.339584, 0, 1.19795, 4.964352, 3.116936
13715, 22.245376, 0, 1.19795, 4.964352, 3.1274
14053, 22.253568, 0, 1.19795, 4.964352, 3.135328
14302, 22.26176, 0, 1.19795, 4.964352, 3.14304
14566, 22.278144, 0, 1.19795, 4.964352, 3.157096
14785, 22.237184, 0, 1.19795, 4.964352, 3.170344
15001, 22.245376, 0, 1.19795, 4.964352, 3.177904
15241, 22.257664, 0, 1.19795, 4.964352, 3.191152
15452, 22.265856, 0, 1.19795, 4.964352, 3.198712
15670, 22.274048, 0, 1.19795, 4.964352, 3.206296
15875, 22.286336, 0, 1.19795, 4.964352, 3.21964
16075, 22.294528, 0, 1.19795, 4.964352, 3.227192
16356, 22.306816, 0, 1.19795, 4.964352, 3.240536
16558, 22.315008, 0, 1.19795, 4.964352, 3.24812
16765, 22.327296, 0, 1.19795, 4.964352, 3.261392
