time (ms), rss (MB),arrayBuffers,external,heapTotal,heapUsed
202, 23.26528, 0, 1.262827, 8.368128, 3.951184
406, 23.277568, 0, 1.262859, 8.368128, 3.956776
607, 23.277568, 0, 1.262859, 8.368128, 3.958568
807, 23.543808, 0, 1.262859, 8.634368, 4.224488
1008, 23.543808, 0, 1.262859, 8.634368, 4.226296
1209, 23.547904, 0, 1.262859, 8.634368, 4.228584
1409, 23.547904, 0, 1.262859, 8.634368, 4.232264
1609, 23.547904, 0, 1.262859, 8.634368, 4.234432
1817, 23.547904, 0, 1.262859, 8.634368, 4.236272
2019, 23.547904, 0, 1.262859, 8.634368, 4.238272
2221, 23.547904, 0, 1.262859, 8.634368, 4.240048
2421, 23.547904, 0, 1.262859, 8.634368, 4.241792
2622, 23.547904, 0, 1.262859, 8.634368, 4.243536
2823, 23.547904, 0, 1.262859, 8.634368, 4.245792
3025, 23.552, 0, 1.262859, 8.634368, 4.248352
3224, 23.552, 0, 1.262859, 8.634368, 4.250552
3430, 23.552, 0, 1.262859, 8.634368, 4.252304
3636, 23.552, 0, 1.262859, 8.634368, 4.254304
3844, 23.552, 0, 1.262859, 8.634368, 4.256264
4045, 23.552, 0, 1.262859, 8.634368, 4.258016
4256, 23.552, 0, 1.262859, 8.634368, 4.259768
4455, 23.552, 0, 1.262859, 8.634368, 4.261816
4656, 23.552, 0, 1.262859, 8.634368, 4.263568
4856, 23.552, 0, 1.262859, 8.634368, 4.26532
5057, 23.552, 0, 1.262859, 8.634368, 4.267072
5258, 23.552, 0, 1.262859, 8.634368, 4.268824
5458, 23.552, 0, 1.262859, 8.634368, 4.270576
5664, 23.552, 0, 1.271051, 8.634368, 4.272608
5871, 23.552, 0, 1.271051, 8.634368, 4.274384
6077, 23.552, 0, 1.271051, 8.634368, 4.276136
6278, 23.552, 0, 1.271051, 8.634368, 4.277888
6478, 23.552, 0, 1.271051, 8.634368, 4.279776
6679, 23.552, 0, 1.271051, 8.634368, 4.281608
6883, 23.552, 0, 1.271051, 8.634368, 4.283392
7083, 23.552, 0, 1.271051, 8.634368, 4.285144
7285, 23.552, 0, 1.271051, 8.634368, 4.286896
7485, 23.552, 0, 1.271051, 8.634368, 4.288648
7685, 23.552, 0, 1.271051, 8.634368, 4.2904
7885, 23.552, 0, 1.271051, 8.634368, 4.292232
8105, 23.552, 0, 1.271051, 8.634368, 4.294016
8313, 22.634496, 0, 1.19795, 4.964352, 2.880824
8514, 22.634496, 0, 1.19795, 4.964352, 2.882784
8714, 22.634496, 0, 1.19795, 4.964352, 2.884536
8915, 21.737472, 0, 1.19795, 5.226496, 2.868464
9116, 21.737472, 0, 1.19795, 5.226496, 2.870424
9316, 21.737472, 0, 1.19795, 5.226496, 2.872176
9519, 21.741568, 0, 1.19795, 5.226496, 2.873928
9720, 21.741568, 0, 1.19795, 5.226496, 2.875968
9928, 23.314432, 0, 1.329022, 5.48864, 3.480848
10167, 30.212096, 0, 1.722238, 7.323648, 4.791608
10389, 29.032448, 0, 1.918846, 9.682944, 5.318512
10594, 30.707712, 0, 2.115454, 13.877248, 7.649176
10802, 33.91488, 0, 2.115454, 13.877248, 6.665808
11038, 33.677312, 0, 2.049918, 13.877248, 5.634152
11281, 33.861632, 0, 2.049918, 13.877248, 5.486856
11501, 33.865728, 0, 2.115454, 13.877248, 7.2298
11719, 33.980416, 0, 2.049918, 13.877248, 5.974056
11919, 33.984512, 0, 2.115454, 13.877248, 8.26168
12124, 33.71008, 0, 2.049918, 13.877248, 4.813104
12341, 33.951744, 0, 2.115454, 14.139392, 7.298056
12566, 33.943552, 0, 2.115454, 14.139392, 7.303232
12771, 34.234368, 0, 1.984382, 22.528, 5.156744
12971, 34.234368, 0, 1.984382, 22.528, 5.158344
13188, 34.234368, 0, 1.984382, 22.528, 5.159864
13413, 34.234368, 0, 1.984382, 22.528, 5.161384
13617, 34.234368, 0, 1.984382, 22.528, 5.163016
13874, 34.234368, 0, 1.984382, 22.528, 5.164536
14080, 34.234368, 0, 1.984382, 22.528, 5.166056
14286, 34.234368, 0, 1.984382, 22.528, 5.167576
14512, 34.234368, 0, 1.984382, 22.528, 5.169096
